date,time,open,high,low,close
10-04-02,1030,1134,1139,1130,1137.9
10-04-02,1100,1136.55,1138.25,1136,1138
10-04-02,1130,1138,1140.5,1137,1139.3
10-04-02,1200,1138.75,1138.9,1136,1137.05
10-04-02,1230,1137.05,1137.05,1133.05,1135
10-04-02,1300,1134.8,1136.15,1134.3,1136.15
10-04-02,1330,1135.25,1136,1134.15,1135.85
10-04-02,1400,1135.9,1137.5,1135,1137.4
10-04-02,1430,1137.5,1138,1136.5,1137.55
10-04-02,1500,1137.5,1139.7,1136.9,1138
11-04-02,1030,1144,1144.4,1141.7,1143.9
11-04-02,1100,1143.9,1146.85,1143.9,1144
11-04-02,1130,1144,1144,1143.4,1143.4
11-04-02,1200,1143.4,1144.65,1143.4,1144.65
11-04-02,1230,1144.65,1144.75,1143,1144.65
11-04-02,1300,1144.65,1145,1144,1145
11-04-02,1330,1144.75,1147,1144.75,1146
11-04-02,1400,1146.8,1149.8,1145.5,1148.6
11-04-02,1430,1148.6,1149,1146.25,1147.1
11-04-02,1500,1147.3,1148.15,1146,1147.9
11-04-02,1530,1147.9,1148.5,1144.5,1146.75
12-04-02,1030,1130.55,1143.95,1130.55,1141.7
12-04-02,1130,1143.25,1144.4,1130.55,1143.25
12-04-02,1200,1143.25,1143.25,1141.65,1142.35
12-04-02,1300,1143.45,1146.45,1143.25,1146
12-04-02,1330,1146,1146.9,1144.85,1146.8
12-04-02,1400,1146.8,1146.8,1144.55,1146
12-04-02,1430,1145.65,1148.1,1145.5,1148.1
12-04-02,1500,1148.25,1153.9,1148,1152.8
12-04-02,1530,1152.9,1154.85,1150.1,1150.5
15-04-02,1030,1152,1152,1142.75,1143.15
15-04-02,1100,1143.15,1147,1143.15,1144.7
15-04-02,1130,1145.3,1146.5,1143.8,1144.7
15-04-02,1200,1144.5,1145.7,1144.35,1145.5
15-04-02,1230,1143.6,1143.9,1142.15,1143.25
15-04-02,1300,1143.05,1144.45,1142.7,1144
15-04-02,1330,1144,1144,1142.45,1142.45
15-04-02,1400,1142.45,1142.5,1138.5,1139.15
